Zm00001d000001	 ppo1;polyphenol oxidase1: vegetative meristem cDNA 7C02D02	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d001928	Kinesin-like calmodulin binding protein  	 [source: RefGen_v3] 
Zm00001d001929	Transport protein particle (TRAPP) component	[source:homolog]
Zm00001d001931	VQ motif family protein  	 [source: RefGen_v3] 
Zm00001d001932	Probable plastid-lipid-associated protein 13 chloroplastic	[source:homolog]
Zm00001d001933	Zinc finger CCCH domain-containing protein 52	[source:homolog]
Zm00001d001935	Leucine--tRNA ligase cytoplasmic	[source:homolog]
Zm00001d001936	Myb family transcription factor PHL5	[source:homolog]
Zm00001d001937	SWIB complex BAF60b domain-containing protein	[source:homolog]
Zm00001d001939	Cell division protein FtsZ homolog 1 chloroplastic	[source:homolog]
Zm00001d001940	Cox19 family protein (CHCH motif)	[source:homolog]
Zm00001d001941	 incw4;invertase cell wall4: genomic sequence (Genbank)	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d001943	Beta-fructofuranosidase insoluble isoenzyme CWINV3	[source:homolog]
Zm00001d001944	Beta-fructofuranosidase insoluble isoenzyme CWINV3	[source:homolog]
Zm00001d001945	Auxin response factor 4  	 [source: RefGen_v3] 
Zm00001d001947	TLD-domain containing nucleolar protein	[source:homolog]
Zm00001d001948	WUS1 protein  	 [source: RefGen_v3] 
Zm00001d001949	U11/U12 small nuclear ribonucleoprotein 25 kDa protein	[source:homolog]
Zm00001d001951	PHD finger-like domain-containing protein 5A	[source:homolog]
Zm00001d001952	Zinc finger C-x8-C-x5-C-x3-H type family protein  	 [source: RefGen_v3] 
Zm00001d001953	Protein IQ-DOMAIN 32	[source:homolog]
Zm00001d001957	NAC domain-containing protein 8	[source:homolog]
Zm00001d001959	GTP cyclohydrolase I 1  	 [source: RefGen_v3] 
Zm00001d001960	Naringenin2-oxoglutarate 3-dioxygenase	[source:homolog]
Zm00001d001961	SAUR-like auxin-responsive protein family	[source:homolog]
Zm00001d001962	Ubiquitin-like superfamily protein	[source:homolog]
Zm00001d001963	SAUR-like auxin-responsive protein family	[source:homolog]
Zm00001d001964	SAUR-like auxin-responsive protein family	[source:homolog]
Zm00001d001965	Alpha-L RNA-binding motif/Ribosomal protein S4 family protein	[source:homolog]
Zm00001d001966	26S proteasome non-ATPase regulatory subunit 7 homolog A	[source:homolog]
Zm00001d001967	Mediator of RNA polymerase II transcription subunit 7a	[source:homolog]
Zm00001d001968	cyclin-related	[source:homolog]
Zm00001d001970	Molybdopterin biosynthesis protein CNX1	[source:homolog]
Zm00001d001973	Exosome complex component RRP4 homolog	[source:homolog]
Zm00001d001974	Inositol-pentakisphosphate 2-kinase	[source:homolog]
Zm00001d001976	Protein NRT1/ PTR FAMILY 2.13	[source:homolog]
Zm00001d001977	Protein trichome birefringence-like 8	[source:homolog]
Zm00001d001978	MAP3K epsilon protein kinase 1	[source:homolog]
Zm00001d001979	Probable UDP-arabinopyranose mutase 5	[source:homolog]
Zm00001d001980	Protein kinase-like  	 [source: RefGen_v3] 
Zm00001d001982	Transcription factor IBH1	[source:homolog]
Zm00001d001983	Protein PELOTA 1	[source:homolog]
Zm00001d001984	Probable amino acid permease 7	[source:homolog]
Zm00001d001987	adenosine deaminases;RNA binding;RNA binding;adenosine deaminases	[source:homolog]
Zm00001d001988	 prh16;putative protein phosphatase 2C 16:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d001993	Probable leucine-rich repeat receptor-like serine/threonine-protein kinase 	[source:homolog]
Zm00001d001995	P-loop containing nucleoside triphosphate hydrolases superfamily protein	[source:homolog]
Zm00001d001999	Galactose mutarotase-like superfamily protein	[source:homolog]
Zm00001d002000	 lox6;lipoxygenase6:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d002003	Probable phosphoribosylformylglycinamidine synthase chloroplastic/mitochondrial	[source:homolog]
Zm00001d002004	Peroxidase 16	[source:homolog]
Zm00001d002005	Protein LIGULELESS 1  	 [source: RefGen_v3] 
Zm00001d002006	H(+)-ATPase 5	[source:homolog]
Zm00001d002007	DEAD-box ATP-dependent RNA helicase 18	[source:homolog]
Zm00001d002008	evolutionarily conserved C-terminal region 10	[source:homolog]
Zm00001d002011	Ethylene-responsive transcription factor ERF003	[source:homolog]
Zm00001d002012	Protein KAKU4	[source:homolog]
Zm00001d002013	OSJNBb0022F16.11 protein;  protein	[source:homolog]
Zm00001d002014	Os07g0120600 protein	[source:homolog]
Zm00001d002015	Os07g0120600 protein	[source:homolog]
Zm00001d002016	Os07g0120600 protein	[source:homolog]
Zm00001d002017	Os07g0120600 protein	[source:homolog]
Zm00001d002018	Os07g0120600 protein	[source:homolog]
Zm00001d002019	OSJNBb0022F16.11 protein;  protein	[source:homolog]
Zm00001d002020	OSJNBb0022F16.11 protein;  protein	[source:homolog]
Zm00001d002022	Vacuolar cation/proton exchanger 2	[source:homolog]
Zm00001d002023	Scarecrow-like protein 6	[source:homolog]
Zm00001d002024	NADPH--cytochrome P450 reductase 2	[source:homolog]
Zm00001d002025	AP2-like ethylene-responsive transcription factor AIL5	[source:homolog]
Zm00001d002026	Protein kinase superfamily protein	[source:homolog]
Zm00001d002027	COP9 signalosome complex subunit 5b	[source:homolog]
Zm00001d002028	Protein FATTY ACID EXPORT 2 chloroplastic	[source:homolog]
Zm00001d002029	Protein TIFY 3B	[source:homolog]
Zm00001d002031	Amino acid kinase family protein	[source:homolog]
Zm00001d002034	6%2C7-dimethyl-8-ribityllumazine synthase  	 [source: RefGen_v3] 
Zm00001d002035	Endonuclease 2	[source:homolog]
Zm00001d002036	Golgin candidate 2	[source:homolog]
Zm00001d002038	 ast91;anti-sigma factor antagonist domain of sulfate transporter91:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d002039	Wall-associated receptor kinase-like protein 9	[source:homolog]
Zm00001d002040	Helicase	[source:homolog]
Zm00001d002042	Peroxidase 52	[source:homolog]
Zm00001d002044	Protein SIEL	[source:homolog]
Zm00001d002046	Alpha-N-acetylglucosaminidase	[source:homolog]
Zm00001d002047	Probable protein phosphatase 2C 33	[source:homolog]
Zm00001d002049	Growth-regulating factor 6	[source:homolog]
Zm00001d002051	D-3-phosphoglycerate dehydrogenase 3 chloroplastic	[source:homolog]
Zm00001d002052	Probable isoaspartyl peptidase/L-asparaginase 2	[source:homolog]
Zm00001d002053	Small RNA degrading nuclease 3	[source:homolog]
Zm00001d002054	 pet3;photosynthetic electron transport3: This gene creates a product required for cytochrome b6f accumulation. Mu tagging and cloning finds this loci to be gene model GRMZM2G177145, which has sequence similarity to CCB4 ortholog (heme assembly), Barkan, 2011Ortholog of CCB4. Required for cyt b6 assembly. (A. Barkan, 2015)lacks cytochrome bf polypeptides; allelic to hcf6	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d002055	Ripening-related protein 3	[source:homolog]
Zm00001d002056	CDT1-like protein a chloroplastic	[source:homolog]
Zm00001d002057	Ripening-related protein 3	[source:homolog]
Zm00001d002062	Peptidyl-prolyl cis-trans isomerase CYP37 chloroplastic	[source:homolog]
Zm00001d002063	UDP-glycosyltransferase 89B1	[source:homolog]
Zm00001d002064	Glycosyltransferase  	 [source: RefGen_v3] 
Zm00001d002065	 mir3;maize insect resistance3: apoplastic; pest defense protease	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d002066	Protein IRX15-LIKE	[source:homolog]
Zm00001d002067	Protein IRX15-LIKE	[source:homolog]
Zm00001d002068	Probable inactive receptor kinase 	[source:homolog]
Zm00001d002069	DNA topoisomerase 2	[source:homolog]
Zm00001d002071	DNA topoisomerase 2	[source:homolog]
Zm00001d002075	Floral homeotic protein APETALA 2	[source:homolog]
Zm00001d002079	Dehydration responsive element binding protein  	 [source: RefGen_v3] 
Zm00001d002080	E3 ubiquitin-protein ligase MBR2	[source:homolog]
Zm00001d002082	Crossover junction endonuclease EME1B	[source:homolog]
Zm00001d002084	zinc finger (ubiquitin-hydrolase) domain-containing protein	[source:homolog]
Zm00001d002085	Glycerol kinase	[source:homolog]
Zm00001d002086	Ubiquitin carboxyl-terminal hydrolase 22	[source:homolog]
Zm00001d002087	EamA-like transporter family	[source:homolog]
Zm00001d002088	DNA-binding WRKY  	 [source: RefGen_v3] 
Zm00001d002089	Tetratricopeptide repeat (TPR)-like superfamily protein	[source:homolog]
Zm00001d002090	Synaptotagmin-5	[source:homolog]
Zm00001d002091	Putative chloride channel-like protein CLC-g	[source:homolog]
Zm00001d002093	36.4 kDa proline-rich protein  	 [source: RefGen_v3] 
Zm00001d002094	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	[source:homolog]
Zm00001d002095	ubiquitin-associated (UBA)/TS-N domain-containing protein	[source:homolog]
Zm00001d002096	Sterile alpha motif (SAM) domain-containing protein	[source:homolog]
Zm00001d002098	Pentatricopeptide repeat-containing protein  mitochondrial	[source:homolog]
Zm00001d002099	Cyclic nucleotide-gated ion channel 9  	 [source: RefGen_v3] 
Zm00001d002100	OSJNBa0033G05.6 protein; OSJNBa0063C18.20 protein;  protein	[source:homolog]
Zm00001d002103	3-oxoacyl-[acyl-carrier-protein] synthase III chloroplastic	[source:homolog]
Zm00001d002104	Glutamyl-tRNA(Gln) amidotransferase subunit A%2C chloroplastic/mitochondrial  	 [source: RefGen_v3] 
Zm00001d002105	V-type proton ATPase subunit D	[source:homolog]
Zm00001d002106	Protein kinase family protein	[source:homolog]
Zm00001d002108	Golgin candidate 6	[source:homolog]
Zm00001d002110	Transcription initiation factor TFIID subunit 7	[source:homolog]
Zm00001d002112	Retrovirus-related Pol polyprotein LINE-1	[source:homolog]
Zm00001d002115	Microtubule-associated protein RP/EB family member 1B	[source:homolog]
Zm00001d002119	ABC transporter B family member 19	[source:homolog]
Zm00001d002120	DEAD-box ATP-dependent RNA helicase 30	[source:homolog]
Zm00001d002121	Transcription factor PRE3	[source:homolog]
Zm00001d002122	RNA-binding (RRM/RBD/RNP motifs) family protein	[source:homolog]
Zm00001d002123	Glutaredoxin family protein	[source:homolog]
Zm00001d002124	Probable pectinesterase/pectinesterase inhibitor 61	[source:homolog]
Zm00001d002125	 nrpd2/e2;nuclear RNA polymerase D2/E2: This gene was found by both the Chandler Lab (as mop2) and the Hollick lab (as rmr7).	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d002126	loricrin-related	[source:homolog]
Zm00001d002127	Tetratricopeptide repeat (TPR)-like superfamily protein	[source:homolog]
Zm00001d002128	Shikimate kinase 1 chloroplastic	[source:homolog]
Zm00001d002129	Protein kinase superfamily protein	[source:homolog]
Zm00001d002131	2-Sep  	 [source: RefGen_v3] 
Zm00001d002135	FGGY family of carbohydrate kinase	[source:homolog]
Zm00001d002136	Protein MIZU-KUSSEI 1	[source:homolog]
Zm00001d002137	 propep1;precursor elicitor peptide1:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d002138	 propep3;precursor elicitor peptide3: herbivore defense signal	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d002139	Transferase  	 [source: RefGen_v3] 
Zm00001d002140	ENTH/VHS family protein	[source:homolog]
Zm00001d002141	UBP1-associated protein 2A	[source:homolog]
Zm00001d002143	Transcription factor TGA4	[source:homolog]
Zm00001d002144	Protein EPIDERMAL PATTERNING FACTOR 2	[source:homolog]
Zm00001d002145	Formation of crista junctions protein 1	[source:homolog]
Zm00001d002146	BTB/POZ domain-containing protein 	[source:homolog]
Zm00001d002148	Syntaxin-51	[source:homolog]
Zm00001d002149	Probable galacturonosyltransferase 10	[source:homolog]
Zm00001d002150	Micronuclear linker histone polyprotein-like protein	[source:homolog]
Zm00001d002153	Heterogeneous nuclear ribonucleoprotein U-like protein 1	[source:homolog]
Zm00001d002154	 mre11a;meiotic recombination protein 11 homolog A:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d002155	LSM7-like  	 [source: RefGen_v3] 
Zm00001d002156	Silencing group B protein  	 [source: RefGen_v3] 
Zm00001d002157	Pentatricopeptide repeat-containing protein  mitochondrial	[source:homolog]
Zm00001d002158	Wound-responsive family protein	[source:homolog]
Zm00001d002159	Wound induced protein  	 [source: RefGen_v3] 
Zm00001d002160	Wound-responsive family protein	[source:homolog]
Zm00001d002161	Wound-responsive family protein	[source:homolog]
Zm00001d002163	Diacylglycerol kinase 5	[source:homolog]
Zm00001d002166	Eukaryotic translation initiation factor 3 subunit C	[source:homolog]
Zm00001d002167	Protein kinase superfamily protein	[source:homolog]
Zm00001d002168	Receptor-like serine/threonine-protein kinase SD1-8	[source:homolog]
Zm00001d002169	Eukaryotic translation initiation factor 3 subunit C	[source:homolog]
Zm00001d002172	G-type lectin S-receptor-like serine/threonine-protein kinase B120	[source:homolog]
Zm00001d002173	Receptor-like serine/threonine-protein kinase SD1-8	[source:homolog]
Zm00001d002174	Cysteine-rich receptor-like protein kinase 6	[source:homolog]
Zm00001d002175	Receptor-like protein kinase FERONIA	[source:homolog]
Zm00001d002176	Lysine histidine transporter 2	[source:homolog]
Zm00001d002178	G-type lectin S-receptor-like serine/threonine-protein kinase B120	[source:homolog]
Zm00001d002179	F-box only protein 7	[source:homolog]
Zm00001d002181	G-type lectin S-receptor-like serine/threonine-protein kinase B120	[source:homolog]
Zm00001d002182	F-box only protein 7	[source:homolog]
Zm00001d002184	Peroxisome biogenesis protein 22	[source:homolog]
Zm00001d002185	Histone-lysine N-methyltransferase ATXR2	[source:homolog]
Zm00001d002186	 dv1;divergent spindle1: chromosomes unoriented at metaphase I; partial male and female sterility; encodes a kinesin-14A motor protein	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d002187	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d002190	ARM repeat superfamily protein	[source:homolog]
Zm00001d002191	Organic cation/carnitine transporter 4	[source:homolog]
Zm00001d002193	Xyloglucan endotransglucosylase/hydrolase protein 9	[source:homolog]
Zm00001d002194	receptor like protein 29	[source:homolog]
Zm00001d002195	Testis intracellular mediator protein	[source:homolog]
Zm00001d002198	Receptor-like serine/threonine-protein kinase SD1-8	[source:homolog]
Zm00001d002199	Receptor-like serine/threonine-protein kinase SD1-8	[source:homolog]
Zm00001d002200	Transcription factor bHLH112	[source:homolog]
Zm00001d002202	CRIB domain-containing protein RIC10	[source:homolog]
Zm00001d002204	ABC transporter I family member 1	[source:homolog]
Zm00001d002205	F-box only protein 7	[source:homolog]
Zm00001d002207	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	[source:homolog]
Zm00001d002208	CRIB domain-containing protein RIC10	[source:homolog]
Zm00001d002211	F-box only protein 7	[source:homolog]
Zm00001d002213	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	[source:homolog]
Zm00001d002214	CRIB domain-containing protein RIC10	[source:homolog]
Zm00001d002216	ABC transporter I family member 1	[source:homolog]
Zm00001d002217	F-box only protein 7	[source:homolog]
Zm00001d002220	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	[source:homolog]
Zm00001d002221	CRIB domain-containing protein RIC10	[source:homolog]
Zm00001d002224	ABC transporter I family member 1	[source:homolog]
Zm00001d002225	F-box only protein 7	[source:homolog]
Zm00001d002227	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	[source:homolog]
Zm00001d002228	CRIB domain-containing protein RIC10	[source:homolog]
Zm00001d002230	ABC transporter I family member 1	[source:homolog]
Zm00001d002231	F-box only protein 7	[source:homolog]
Zm00001d002232	F-box only protein 7	[source:homolog]
Zm00001d002234	Homeodomain leucine zipper family IV protein  	 [source: RefGen_v3] 
Zm00001d002240	Chloroplastic lipocalin	[source:homolog]
Zm00001d002243	Polyadenylate-binding protein-interacting protein 3	[source:homolog]
Zm00001d002244	Polyadenylate-binding protein RBP45C	[source:homolog]
Zm00001d002246	 pks1;polyketide synthesis homolog1: vegetative meristem cDNA 7C02F01 similar to an acyl CoA condensing enzyme	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d002247	Speckle-type POZ protein-like protein	[source:homolog]
Zm00001d002250	Probable cinnamyl alcohol dehydrogenase 1	[source:homolog]
Zm00001d002252	myosin heavy chain-related	[source:homolog]
Zm00001d002253	60S ribosomal protein L27  	 [source: RefGen_v3] 
Zm00001d002256	Starch synthase 3 chloroplastic/amyloplastic	[source:homolog]
Zm00001d002257	Autophagy-related protein 8c	[source:homolog]
Zm00001d002258	Aminomethyltransferase  	 [source: RefGen_v3] 
Zm00001d002259	Signal recognition particle 14 kDa protein	[source:homolog]
Zm00001d002260	Peroxisomal (S)-2-hydroxy-acid oxidase GLO1	[source:homolog]
Zm00001d002261	Peroxisomal (S)-2-hydroxy-acid oxidase GLO1	[source:homolog]
